l1cache-sets;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_sysuser;CPU_used_per
1;293;30.37;239.13;0.55;9.65;1.22;98.66
2;612;30.26;238.31;0.48;20.22;2.56;98.64
3;903;30.24;238.61;0.44;29.86;3.78;98.81
4;1176;30.36;239.55;0.41;38.73;4.90;98.79
5;1510;30.44;240.15;0.44;49.61;6.28;98.81
6;1758;30.29;239.08;0.47;58.04;7.34;98.86
7;2086;30.31;239.23;0.42;68.83;8.70;98.85
8;2328;30.35;239.53;0.42;76.70;9.70;98.81
9;2718;30.34;239.33;0.42;89.60;11.34;98.79
10;3030;30.42;240.08;0.35;99.59;12.60;98.78
11;2981;30.46;240.37;0.39;97.87;12.38;98.81
12;3480;30.26;238.24;0.55;115.01;14.57;98.65
13;3939;30.24;238.65;0.37;130.25;16.48;98.80
14;4158;30.31;238.79;0.48;137.19;17.38;98.69
15;4455;30.46;240.12;0.49;146.27;18.52;98.75
16;4800;30.44;240.15;0.47;157.68;19.95;98.81
17;5168;30.21;238.41;0.39;171.08;21.64;98.81
18;5616;30.38;239.98;0.38;184.85;23.36;98.89
19;5624;30.44;239.94;0.44;184.75;23.40;98.71
20;5920;30.45;239.82;0.56;194.43;24.63;98.68
21;6174;30.27;238.06;0.58;203.99;25.87;98.56
22;6644;30.36;239.37;0.43;218.85;27.71;98.74
23;6647;30.35;239.58;0.35;219.04;27.70;98.83
24;7176;30.21;238.45;0.46;237.52;30.04;98.85
25;7600;30.45;240.37;0.43;249.56;31.56;98.84
26;7592;30.42;236.18;1.11;249.54;31.99;97.49
27;8046;30.21;238.43;0.43;266.30;33.69;98.82
28;8400;30.37;239.92;0.31;276.63;34.97;98.89
29;8816;30.28;239.06;0.38;291.16;36.82;98.85
30;9180;30.18;238.36;0.44;304.13;38.44;98.89
31;9114;30.41;239.98;0.47;299.67;37.90;98.82
32;9600;30.43;240.04;0.42;315.47;39.92;98.77
33;9768;30.42;239.98;0.45;321.15;40.63;98.81
34;10064;30.41;240.14;0.39;330.98;41.84;98.88
35;10150;30.46;240.22;0.47;333.20;42.17;98.77
36;10476;30.19;238.00;0.50;347.02;43.92;98.76
37;10841;30.19;238.12;0.51;359.09;45.43;98.80
38;11020;30.14;237.62;0.46;365.66;46.29;98.75
39;10998;30.40;239.96;0.38;361.73;45.76;98.81
40;11280;30.30;239.03;0.47;372.22;47.10;98.79
41;11439;30.24;238.35;0.42;378.22;47.91;98.68
42;12642;30.31;239.26;0.36;417.07;52.76;98.82
43;12943;30.26;238.70;0.53;427.68;54.10;98.81
44;12804;30.34;239.19;0.45;422.06;53.43;98.74
45;13095;30.35;239.14;0.56;431.48;54.63;98.73
46;13984;30.25;238.63;0.43;462.30;58.50;98.79
47;14288;30.26;238.69;0.45;472.17;59.75;98.78
48;14256;30.27;238.73;0.39;470.90;59.62;98.73
49;14700;30.41;240.02;0.42;483.37;61.14;98.83
50;14400;30.26;238.70;0.45;475.84;60.21;98.78
51;13974;30.33;228.23;2.35;460.73;60.60;95.03
52;14976;30.20;237.62;0.54;495.86;62.88;98.57
53;14787;30.27;238.72;0.48;488.44;61.82;98.76
54;15552;30.24;238.23;0.48;514.37;65.15;98.69
55;14685;30.22;237.73;0.59;485.97;61.62;98.58
56;16352;30.24;238.41;0.50;540.82;68.44;98.77
57;16017;30.28;238.94;0.42;528.98;66.92;98.82
58;17110;30.19;238.35;0.39;566.73;71.67;98.85
59;17405;30.19;238.13;0.43;576.57;72.96;98.78
60;18540;30.32;239.12;0.50;611.44;77.37;98.78
61;17934;30.26;238.74;0.37;592.63;75.00;98.77
62;18290;30.42;240.01;0.46;601.31;76.06;98.82
63;18585;30.20;238.35;0.34;615.48;77.86;98.81
64;18752;30.27;238.81;0.50;619.58;78.36;98.84
65;19760;30.31;239.17;0.44;652.00;82.47;98.83
66;19866;30.30;239.09;0.49;655.63;82.92;98.83
67;20100;30.36;239.88;0.36;661.99;83.67;98.90
68;19992;30.25;239.00;0.29;660.80;83.55;98.87
69;20631;30.45;240.34;0.37;677.62;85.71;98.83
70;20580;30.28;239.09;0.36;679.55;85.95;98.83
71;21442;30.37;239.92;0.37;706.04;89.23;98.90
72;21168;30.39;239.97;0.30;696.61;88.10;98.84
73;20221;30.42;240.09;0.41;664.63;84.08;98.81
74;21756;30.37;239.74;0.37;716.27;90.61;98.81
75;22575;30.25;239.02;0.35;746.21;94.31;98.90
76;22116;30.41;240.10;0.49;727.15;91.92;98.88
77;22638;30.32;239.49;0.39;746.57;94.37;98.89
79;22357;30.25;238.81;0.47;739.16;93.43;98.89
80;23280;30.25;238.78;0.43;769.48;97.32;98.83
81;24381;30.26;238.74;0.35;805.73;101.97;98.77
82;25338;30.33;239.52;0.37;835.36;105.62;98.86
83;24485;30.19;238.19;0.39;810.97;102.63;98.78
84;25116;30.22;238.56;0.42;831.06;105.10;98.84
85;25245;30.41;240.23;0.38;830.21;104.92;98.91
87;25578;30.41;240.12;0.36;841.14;106.36;98.85
88;26928;30.36;239.76;0.38;886.98;112.13;98.87
89;26077;30.30;239.47;0.32;860.69;108.75;98.93
91;26572;30.21;238.67;0.39;879.54;111.15;98.91
92;26680;30.27;238.96;0.42;881.37;111.45;98.85
93;27900;30.22;238.74;0.37;923.17;116.68;98.90
95;28975;30.41;240.32;0.37;952.95;120.38;98.95
96;28704;30.25;238.92;0.29;948.86;119.99;98.84
97;28227;30.27;238.66;0.44;932.64;118.06;98.75
98;28126;30.29;239.25;0.36;928.46;117.38;98.87
99;29007;30.44;239.81;0.57;952.84;120.67;98.70
100;30000;30.26;239.07;0.32;991.26;125.32;98.87
101;29896;30.22;238.54;0.38;989.19;125.13;98.82
103;31518;30.28;239.07;0.36;1041.03;131.64;98.85
105;31500;30.52;240.50;0.39;1032.19;130.77;98.67
106;31376;30.25;238.77;0.39;1037.25;131.19;98.83
107;30709;30.59;232.20;1.96;1003.85;131.15;95.68
108;31428;30.36;234.97;1.11;1035.04;133.12;97.19
110;33110;30.37;239.57;0.41;1090.11;137.97;98.76
111;33078;30.16;238.19;0.39;1096.85;138.65;98.89
112;34608;30.37;239.78;0.42;1139.53;144.08;98.86
117;35568;30.32;239.40;0.43;1172.91;148.31;98.86
120;35640;30.22;238.88;0.38;1179.19;148.96;98.95
125;36250;30.28;239.11;0.40;1197.14;151.35;98.87
128;37248;30.27;239.06;0.38;1230.65;155.56;98.89
143;44044;30.34;239.45;0.40;1451.91;183.63;98.83
160;46240;30.52;240.84;0.41;1515.05;191.67;98.81
189;56511;30.30;239.11;0.40;1864.84;235.94;98.80
200;54800;30.32;239.16;0.41;1807.28;228.74;98.76
231;68607;30.35;239.81;0.33;2260.17;285.70;98.89
250;71750;30.32;239.52;0.40;2366.51;299.06;98.92
254;72898;30.21;238.48;0.44;2413.21;305.11;98.86
259;75887;30.33;239.64;0.32;2502.44;316.25;98.91
273;79443;30.14;237.67;0.42;2635.84;333.67;98.74
297;83754;30.33;239.27;0.37;2761.64;349.50;98.77
320;96320;30.31;238.44;0.59;3177.46;402.96;98.57
333;93573;30.49;232.98;1.35;3069.06;399.32;96.07
351;104247;30.11;237.34;0.46;3461.98;438.38;98.71
400;115600;30.42;240.07;0.40;3799.82;480.73;98.80
407;109483;30.36;238.69;0.51;3605.93;457.70;98.48
429;119691;30.37;239.76;0.45;3941.25;498.28;98.87
481;144300;30.37;239.83;0.38;4750.97;600.72;98.86
500;144000;30.34;239.26;0.39;4746.70;600.88;98.75
625;183750;30.38;240.05;0.33;6047.91;764.41;98.90
693;212751;30.37;239.67;0.40;7005.55;886.20;98.81
777;222999;30.44;240.03;0.46;7326.46;927.27;98.76
800;236000;30.38;239.36;0.51;7768.88;983.87;98.70
819;218673;30.20;226.10;2.02;7241.23;958.59;94.43
999;287712;30.24;238.60;0.43;9515.60;1203.66;98.82
1000;303000;30.56;241.04;0.45;9914.22;1254.71;98.77