netdev;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1;2117653;30.00;14.69;15.28;70584.17;70659.09;99.89
2;4284132;30.00;28.56;31.41;142804.32;71437.92;99.95
3;6138269;30.00;41.31;48.62;204608.05;68256.08;99.92
4;7781851;30.00;53.86;66.08;259395.36;64881.20;99.95
5;7706982;30.00;63.84;85.89;256857.43;51472.53;99.80
6;8970378;30.00;75.50;104.31;299006.27;49888.09;99.89
7;9013347;30.00;80.06;129.37;300440.80;43037.52;99.73
8;9145860;30.00;82.11;154.78;304860.99;38608.05;98.70
9;8849569;30.00;79.59;157.35;294985.02;37349.41;87.76
10;8745277;30.00;81.06;155.64;291508.20;36946.67;78.90
11;8786267;30.00;79.73;157.20;292874.10;37083.81;71.80
12;8905949;30.00;80.41;156.58;296864.67;37579.43;65.83
13;8823842;30.00;79.66;157.36;294123.62;37228.26;60.77
14;8960497;30.00;80.76;156.28;298674.33;37801.62;56.44
15;8358608;30.00;78.16;158.69;278615.38;35290.72;52.63
16;8682328;30.00;79.22;157.68;289406.80;36649.76;49.35
17;8590392;30.00;77.89;158.57;286339.33;36329.16;46.36
18;8868232;30.00;79.88;157.28;295591.75;37393.46;43.92
19;8799384;30.00;79.72;157.34;293293.07;37118.81;41.59
20;8449445;30.00;78.47;158.64;281632.34;35635.13;39.52
21;8501065;30.00;77.45;159.52;283355.50;35874.01;37.61
22;8713819;30.00;78.93;157.98;290449.57;36781.14;35.89
23;8058188;30.00;75.61;160.99;268601.65;34058.28;34.29
24;8629824;30.00;77.75;159.27;287637.85;36409.69;32.92
25;8282593;30.00;76.24;160.31;276068.86;35014.13;31.54
26;8618771;30.00;77.37;159.80;287256.92;36340.06;30.40
27;8707231;30.00;77.92;159.10;290220.34;36736.27;29.26
28;8364736;30.01;76.56;160.52;278770.43;35282.34;28.22
29;8687352;30.00;78.55;158.29;289556.66;36680.26;27.22
30;8666078;30.00;78.45;158.53;288830.40;36568.82;26.33
31;8483244;30.00;77.43;159.61;282745.04;35788.24;25.49
32;8290815;30.00;75.90;160.86;276331.35;35017.80;24.66
33;8680096;30.00;78.89;158.28;289295.54;36598.63;23.95
34;8597627;30.00;78.03;159.15;286562.34;36249.38;23.25
35;8532178;30.00;77.68;159.46;284365.29;35979.50;22.58
36;8321649;30.00;75.96;160.95;277360.36;35125.78;21.93
37;8634436;30.00;79.09;157.46;287794.83;36501.53;21.31
38;8534581;30.00;76.72;160.35;284457.05;36000.26;20.79
39;8725257;30.00;78.57;158.39;290808.56;36821.65;20.25
40;8573977;30.01;77.45;159.60;285751.15;36169.49;19.75
41;8357384;30.00;76.80;159.76;278561.90;35328.81;19.23
42;8561107;30.00;76.63;160.16;285352.49;36154.85;18.79
43;8683412;30.01;78.46;158.78;289383.06;36601.80;18.39
44;8545288;30.01;77.96;158.99;284785.27;36063.68;17.95
45;8397441;30.00;77.35;159.43;279884.14;35465.16;17.54
46;8361264;30.01;76.35;160.61;278607.19;35285.55;17.16
47;8608329;30.01;78.27;159.07;286886.15;36270.03;16.83
48;8409912;30.01;75.53;161.64;280266.22;35459.43;16.47
49;8293374;30.00;75.17;158.52;276400.92;35488.78;15.89
50;8288113;30.01;74.61;162.42;276213.05;34966.51;15.80
51;8414749;30.01;76.22;160.90;280432.96;35487.30;15.49
52;8465560;30.01;75.62;161.34;282110.36;35725.69;15.19
53;8672365;30.01;78.55;158.49;289015.29;36586.08;14.90
54;8500536;30.01;76.39;160.71;283303.51;35852.11;14.63
55;8220247;30.00;74.51;161.85;273971.77;34778.50;14.32
56;8473228;30.00;75.60;161.70;282429.94;35706.82;14.12
57;8519420;30.00;76.01;160.74;283976.95;35984.88;13.84
58;7987210;30.01;73.10;164.03;266186.94;33682.83;13.63
59;8101070;30.01;73.06;164.47;269973.44;34105.46;13.42
60;8285267;30.01;75.05;162.19;276108.02;34923.57;13.18
61;7471150;30.01;69.30;167.97;248973.46;31487.97;12.96
62;8170384;30.01;73.90;163.41;272275.62;34429.16;12.76
63;8546830;30.01;75.87;161.44;284825.74;36015.47;12.55
64;8473254;30.01;75.63;161.52;282362.62;35729.51;12.35
65;8421107;30.01;74.78;162.13;280654.82;35545.60;12.15
66;8333870;30.01;75.45;162.33;277729.13;35048.66;12.01
67;8479843;30.01;75.03;162.32;282594.78;35727.17;11.81
68;8559807;30.01;75.99;161.28;285226.90;36076.23;11.63
69;8420506;30.01;75.30;163.18;280605.63;35309.07;11.52
70;7870219;30.01;71.64;165.68;262266.48;33162.90;11.30
71;8417256;30.01;74.95;162.60;280496.28;35433.62;11.15
72;8447374;30.01;75.24;162.11;281485.11;35590.37;10.98
73;8609288;30.01;77.88;159.75;286864.69;36229.80;10.85
74;8202370;30.01;74.67;162.77;273290.90;34545.02;10.69
75;8449934;30.01;75.78;161.29;281589.66;35643.20;10.53
76;8350519;30.01;75.51;161.04;278283.67;35301.29;10.37
77;8517225;30.01;76.12;161.55;283819.34;35836.35;10.29
78;8497477;30.01;75.21;162.43;283156.63;35757.77;10.15
79;8173564;30.01;73.95;163.49;272380.72;34423.70;10.02
80;8465724;30.01;75.79;161.24;282089.88;35715.83;9.87
81;8119912;30.01;72.32;164.77;270585.91;34248.23;9.75
82;8499586;30.01;75.64;161.68;283248.96;35814.87;9.64
83;8071102;30.01;73.27;164.03;268945.93;34012.23;9.53
84;8608107;30.01;77.42;162.49;286833.89;35880.57;9.52
85;8263964;30.02;74.59;165.00;275277.72;34492.11;9.39
86;8329122;30.02;75.95;161.42;277449.27;35089.19;9.19
87;8094782;30.02;73.30;164.86;269649.90;33988.84;9.12
88;8763658;30.03;77.85;161.57;291799.44;36603.70;9.06
89;8452141;30.01;76.53;161.25;281604.62;35546.06;8.90
90;8686998;30.02;77.59;160.44;289419.13;36495.39;8.81
91;8027050;30.02;71.74;166.17;267402.33;33739.86;8.71
92;8520722;30.01;75.90;161.98;283883.55;35819.41;8.61
93;8604077;30.01;76.95;160.95;286661.23;36166.78;8.52
94;8404537;30.02;74.38;163.81;279972.08;35285.01;8.44
95;8229666;30.01;74.03;163.52;274242.87;34643.93;8.33
96;8551957;30.02;77.56;159.52;284876.24;36072.03;8.23
97;8759313;30.02;79.11;158.92;291818.01;36799.20;8.18
98;8376831;30.02;74.83;162.78;279081.65;35254.54;8.08
99;8381778;30.02;74.79;163.64;279243.10;35154.04;8.02
100;8517784;30.01;76.23;162.21;283793.74;35722.97;7.94
101;8624462;30.02;77.59;160.91;287326.19;36161.27;7.87
102;8591059;30.01;75.99;162.13;286258.12;36078.70;7.78
103;8563157;30.01;76.74;161.03;285333.27;36014.46;7.69
104;8370966;30.01;74.80;162.41;278902.03;35289.26;7.60
105;8304976;30.02;75.32;163.23;276687.74;34814.40;7.57
106;8507801;30.01;77.23;161.43;283463.39;35648.21;7.50
107;8428371;30.03;75.16;163.65;280680.98;35293.21;7.43
108;8453989;30.02;76.59;162.03;281648.77;35428.67;7.36
109;8521408;30.01;75.26;163.46;283932.51;35696.25;7.30
110;8700899;30.02;77.45;167.73;289881.06;35487.80;7.43
111;8560760;30.02;76.86;162.24;285204.64;35804.10;7.18
112;8323858;30.02;73.87;165.28;277309.39;34806.01;7.11
113;8413491;30.02;74.81;163.62;280291.62;35287.05;7.03
114;8619356;30.02;77.10;162.89;287165.47;35915.48;7.01
115;8597599;30.02;77.08;163.82;286424.86;35689.49;6.98
116;8407600;30.02;75.21;162.64;280108.26;35348.33;6.83
117;8489629;30.01;76.59;162.06;282847.75;35573.56;6.80
118;8465558;30.01;74.97;164.35;282062.92;35373.38;6.76
119;8754256;30.02;78.01;161.65;291638.06;36527.81;6.71
120;8169191;30.02;73.48;165.74;272156.69;34149.28;6.64
121;8552548;30.02;76.03;163.51;284910.52;35704.05;6.59
122;8031295;30.02;74.20;163.62;267503.87;33770.48;6.49
123;8653421;30.01;77.09;161.58;288314.54;36256.84;6.47
124;7786047;30.01;70.88;167.53;259414.94;32658.22;6.41
