netlink;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
netlink;11701;30.01;46.94;32.67;389.89;146.98;53.05
netlink;14710;30.01;57.29;24.43;490.23;180.00;54.47
netlink;14920;30.00;57.53;24.00;497.27;183.00;54.35
netlink;13475;30.04;53.06;27.35;448.57;167.58;53.54
netlink;13810;30.01;55.14;25.15;460.12;172.00;53.50
netlink;13426;30.01;54.50;26.77;447.35;165.20;54.16
netlink;13867;30.01;55.55;25.64;462.09;170.80;54.11
netlink;13957;30.01;54.45;23.99;465.15;177.93;52.28
netlink;14088;30.00;54.66;22.48;469.55;182.63;51.42
netlink;14411;30.01;55.55;23.40;480.19;182.53;52.61
empty;24915;30.00;101.00;48.94;830.39;166.17;99.95
empty;27735;30.00;106.93;45.64;924.41;181.79;101.70
empty;28287;30.00;108.50;44.75;942.81;184.58;102.16
empty;28567;30.00;108.96;45.09;952.16;185.44;102.69
empty;26732;30.00;105.52;47.01;891.01;175.26;101.68
empty;23625;30.00;96.48;52.36;787.42;158.73;99.22
empty;26171;30.00;103.06;46.58;872.31;174.89;99.75
empty;27333;30.00;105.27;45.34;911.03;181.48;100.40
empty;27915;30.00;106.21;44.48;930.38;185.25;100.45
empty;28483;30.00;107.44;43.89;949.35;188.22;100.88